epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.3484,1.68739,2.39819,1.56146,0.59205,0.47417,0.50167,0.23315,1.89297,2.14771,1.68295,0.00332852,0.00332852,0.00332852
2,164.737,1.67213,1.79717,1.51431,0.43922,0.39572,0.35035,0.1525,2.04351,2.06647,1.80758,0.00664156,0.00664156,0.00664156
3,243.576,1.74728,1.7517,1.59045,0.47411,0.4542,0.39138,0.16782,2.05981,2.76934,1.83129,0.00993429,0.00993429,0.00993429
4,321.257,1.78974,1.77127,1.64588,0.54389,0.39782,0.41309,0.18681,2.02307,2.07266,1.85438,0.00990862,0.00990862,0.00990862
5,398.911,1.75313,1.68976,1.62154,0.58193,0.49263,0.51867,0.23976,1.92951,1.77845,1.75603,0.00987815,0.00987815,0.00987815
6,476.815,1.71155,1.63912,1.5946,0.64341,0.5273,0.57057,0.26786,1.90426,1.71912,1.76825,0.00984769,0.00984769,0.00984769
7,554.568,1.67957,1.57176,1.58111,0.58328,0.42924,0.45486,0.21495,2.01183,1.97408,1.85095,0.00981723,0.00981723,0.00981723
8,632.189,1.65809,1.53825,1.57728,0.68237,0.5799,0.62557,0.30419,1.83751,1.50866,1.71568,0.00978677,0.00978677,0.00978677
9,709.636,1.63857,1.50251,1.55269,0.63953,0.53299,0.58691,0.29616,1.83021,1.55685,1.70856,0.00975631,0.00975631,0.00975631
10,786.908,1.61667,1.46479,1.53648,0.63406,0.54312,0.58287,0.29127,1.85577,1.58168,1.73183,0.00972585,0.00972585,0.00972585
11,864.499,1.60655,1.42916,1.52619,0.65818,0.56407,0.62034,0.31227,1.79992,1.51138,1.6881,0.00969538,0.00969538,0.00969538
12,942.324,1.60086,1.4208,1.51895,0.70333,0.57222,0.64209,0.32358,1.80937,1.45581,1.69664,0.00966492,0.00966492,0.00966492
13,1019.93,1.58046,1.4067,1.51768,0.70084,0.5832,0.65105,0.33444,1.79093,1.40213,1.6915,0.00963446,0.00963446,0.00963446
14,1096.96,1.56816,1.37716,1.50007,0.71871,0.58903,0.6546,0.33503,1.76957,1.40522,1.68748,0.009604,0.009604,0.009604
15,1174.42,1.56329,1.37327,1.49954,0.71565,0.58547,0.65121,0.3362,1.76809,1.40512,1.63409,0.00957354,0.00957354,0.00957354
16,1252.11,1.5528,1.34537,1.49135,0.71455,0.5906,0.66327,0.3417,1.7737,1.39491,1.66365,0.00954308,0.00954308,0.00954308
17,1329.94,1.5428,1.32184,1.47734,0.69866,0.61912,0.676,0.35066,1.75652,1.32649,1.65095,0.00951262,0.00951262,0.00951262
18,1407.84,1.52991,1.32148,1.48105,0.7211,0.63116,0.68791,0.35713,1.76401,1.32056,1.65836,0.00948215,0.00948215,0.00948215
19,1485.76,1.52105,1.30747,1.46913,0.72668,0.6287,0.69802,0.37188,1.71886,1.28529,1.63045,0.00945169,0.00945169,0.00945169
