epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.356,1.6981,1.92733,1.59205,0.61098,0.44573,0.49617,0.23815,1.91458,1.72833,1.71948,0.00332852,0.00332852,0.00332852
2,284.579,1.63295,1.48218,1.50298,0.61798,0.48345,0.51557,0.24792,1.95094,1.69076,1.75776,0.00664156,0.00664156,0.00664156
3,416.854,1.71796,1.5953,1.57117,0.47993,0.33118,0.33724,0.14573,2.115,2.28671,1.96719,0.00993429,0.00993429,0.00993429
4,548.665,1.77146,1.69751,1.62893,0.58769,0.47693,0.49551,0.22306,1.98419,1.8883,1.80227,0.00990862,0.00990862,0.00990862
5,691.248,1.73509,1.62216,1.61177,0.59724,0.47872,0.50909,0.23934,1.93525,1.76606,1.77707,0.00987815,0.00987815,0.00987815
6,821.578,1.6858,1.5692,1.57735,0.62171,0.53421,0.56398,0.2739,1.91405,1.61515,1.76457,0.00984769,0.00984769,0.00984769
7,952.452,1.65319,1.50309,1.56613,0.65277,0.55338,0.60362,0.29372,1.84373,1.55325,1.73219,0.00981723,0.00981723,0.00981723
8,1094.73,1.62606,1.45536,1.54278,0.70907,0.56544,0.64192,0.32469,1.80521,1.44939,1.69699,0.00978677,0.00978677,0.00978677
9,1225.04,1.60459,1.42421,1.52694,0.71513,0.57098,0.63934,0.32766,1.78895,1.42621,1.67602,0.00975631,0.00975631,0.00975631
10,1355.64,1.58154,1.38534,1.50677,0.71756,0.5866,0.65932,0.32927,1.82788,1.39264,1.69033,0.00972585,0.00972585,0.00972585
11,1486.31,1.56223,1.35217,1.49202,0.7003,0.59951,0.66073,0.34045,1.74968,1.40408,1.61831,0.00969538,0.00969538,0.00969538
12,1628.03,1.55576,1.33502,1.48373,0.71422,0.59951,0.66601,0.34457,1.76389,1.38098,1.66304,0.00966492,0.00966492,0.00966492
13,1757.57,1.53193,1.30978,1.47345,0.73182,0.60887,0.68312,0.35782,1.72225,1.33258,1.62167,0.00963446,0.00963446,0.00963446
14,1887.16,1.52113,1.28011,1.46517,0.71183,0.61845,0.67925,0.35678,1.73126,1.35275,1.61204,0.009604,0.009604,0.009604
15,2028.65,1.50867,1.28672,1.46071,0.73623,0.62046,0.69251,0.36939,1.71175,1.30078,1.61288,0.00957354,0.00957354,0.00957354
16,2158.06,1.50227,1.25959,1.45302,0.72768,0.64376,0.69835,0.36785,1.72181,1.28925,1.61102,0.00954308,0.00954308,0.00954308
17,2287.89,1.48776,1.23241,1.43766,0.72614,0.63999,0.70349,0.37793,1.7009,1.23498,1.60257,0.00951262,0.00951262,0.00951262
18,2417.28,1.47354,1.22368,1.43708,0.74316,0.64676,0.71533,0.38605,1.70596,1.22856,1.60696,0.00948215,0.00948215,0.00948215
19,2558.53,1.46324,1.20951,1.42545,0.77682,0.64151,0.73578,0.40158,1.6597,1.18959,1.57286,0.00945169,0.00945169,0.00945169
20,2687.97,1.45564,1.18044,1.41658,0.7491,0.66904,0.73698,0.40725,1.64848,1.1832,1.56458,0.00942123,0.00942123,0.00942123
21,2817.34,1.4445,1.17107,1.4111,0.78221,0.6579,0.7395,0.40923,1.63572,1.20418,1.54763,0.00939077,0.00939077,0.00939077
22,2958.77,1.43278,1.15664,1.40362,0.77122,0.66713,0.74691,0.41201,1.61977,1.16989,1.53323,0.00936031,0.00936031,0.00936031
23,3082.2,1.42818,1.14545,1.40106,0.78288,0.67417,0.75471,0.42615,1.61833,1.13433,1.54208,0.00932985,0.00932985,0.00932985
24,3205.64,1.41333,1.13258,1.38761,0.78888,0.69088,0.77045,0.43588,1.60729,1.10372,1.53516,0.00929938,0.00929938,0.00929938
25,3335.16,1.40942,1.12893,1.38775,0.77654,0.68687,0.76357,0.4337,1.60681,1.11248,1.53719,0.00926892,0.00926892,0.00926892
26,3464.61,1.4,1.11158,1.3775,0.7748,0.694,0.76441,0.43817,1.58789,1.08156,1.52456,0.00923846,0.00923846,0.00923846
27,3594.05,1.38712,1.09402,1.36744,0.79955,0.68895,0.77126,0.44298,1.5746,1.07872,1.50633,0.009208,0.009208,0.009208
28,3734.96,1.39068,1.10614,1.37823,0.78864,0.70805,0.78618,0.45109,1.57024,1.04901,1.49852,0.00917754,0.00917754,0.00917754
29,3864.38,1.3839,1.08147,1.36705,0.79802,0.70849,0.7886,0.45666,1.55386,1.03659,1.47709,0.00914708,0.00914708,0.00914708
30,3993.42,1.36497,1.07069,1.35236,0.80456,0.71105,0.78529,0.46095,1.53965,1.04685,1.46112,0.00911662,0.00911662,0.00911662
31,4134.29,1.36599,1.06582,1.34925,0.82018,0.70342,0.79379,0.47112,1.52417,1.02348,1.46634,0.00908615,0.00908615,0.00908615
32,4264.03,1.36453,1.06643,1.34875,0.82269,0.71248,0.7947,0.4692,1.52343,1.01144,1.45709,0.00905569,0.00905569,0.00905569
