epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.509,3.30236,6.04356,3.03489,0.51551,0.39151,0.40307,0.19089,3.68955,4.71439,3.38393,0.00332852,0.00332852,0.00332852
2,433.039,3.37915,4.17379,3.02143,0.50318,0.41409,0.40935,0.17931,3.98006,4.17195,3.56222,0.00664156,0.00664156,0.00664156
3,641.957,3.58943,4.00909,3.17193,0.46758,0.35191,0.3435,0.15393,4.12804,4.73783,3.81218,0.00993429,0.00993429,0.00993429
4,854.026,3.6645,3.97312,3.2525,0.4959,0.37285,0.38189,0.17385,3.94992,4.14513,3.65201,0.00990862,0.00990862,0.00990862
5,1066.7,3.58558,3.75992,3.23141,0.55033,0.45987,0.47872,0.22095,3.82623,3.94103,3.55057,0.00987815,0.00987815,0.00987815
6,1279,3.49476,3.61716,3.16374,0.58428,0.48473,0.51202,0.2296,3.89841,3.70929,3.63994,0.00984769,0.00984769,0.00984769
7,1482.32,3.44681,3.49497,3.13416,0.6132,0.50657,0.53088,0.26195,3.72291,3.44446,3.43706,0.00981723,0.00981723,0.00981723
8,1687.38,3.388,3.38321,3.10299,0.63849,0.51437,0.56157,0.27084,3.68744,3.28826,3.39283,0.00978677,0.00978677,0.00978677
9,1902.34,3.36132,3.31829,3.07343,0.64306,0.52151,0.57386,0.28715,3.63376,3.22668,3.3781,0.00975631,0.00975631,0.00975631
10,2114.92,3.33593,3.23318,3.05509,0.62647,0.51705,0.56119,0.272,3.70963,3.21845,3.45059,0.00972585,0.00972585,0.00972585
11,2330.1,3.29622,3.14034,3.02561,0.66673,0.5542,0.60921,0.30683,3.61809,2.98386,3.34777,0.00969538,0.00969538,0.00969538
12,2508.11,3.29624,3.11348,3.0142,0.66696,0.57487,0.62417,0.31223,3.60312,3.01443,3.34128,0.00966492,0.00966492,0.00966492
13,2726.04,3.24987,3.06855,3.0051,0.68885,0.57254,0.63701,0.31778,3.59512,2.94675,3.34811,0.00963446,0.00963446,0.00963446
14,2924.53,3.22831,2.99937,2.98608,0.68857,0.58502,0.63738,0.32452,3.56423,2.89876,3.32531,0.009604,0.009604,0.009604
15,3143.72,3.20425,3.0093,2.97522,0.70229,0.58829,0.65307,0.33306,3.53473,2.82322,3.29896,0.00957354,0.00957354,0.00957354
16,3363.37,3.19632,2.96319,2.96562,0.71138,0.59973,0.66506,0.34352,3.48443,2.80887,3.25339,0.00954308,0.00954308,0.00954308
17,3579.75,3.18499,2.90172,2.94269,0.71227,0.58747,0.6591,0.34504,3.52844,2.77113,3.27005,0.00951262,0.00951262,0.00951262
18,3780.6,3.16058,2.90039,2.94424,0.68616,0.614,0.66331,0.34689,3.49195,2.7562,3.28157,0.00948215,0.00948215,0.00948215
19,3977.46,3.14002,2.85579,2.93005,0.69624,0.62692,0.68012,0.35991,3.4452,2.66689,3.25223,0.00945169,0.00945169,0.00945169
